Crop,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,Andhra Pradesh,439248,944.6,62830033.92,39532.32,0.530909091
Arhar/Tur,Andhra Pradesh,3466,944.6,495776.64,311.94,0.56
Bajra,Andhra Pradesh,49844,944.6,7129685.76,4485.96,1.134375
Bajra,Andhra Pradesh,9274,944.6,1326552.96,834.66,1.1875
Banana,Andhra Pradesh,54100,944.6,7738464,4869,26.21611111
Cashewnut,Andhra Pradesh,150135,944.6,21475310.4,13512.15,0.319230769
Castor seed,Andhra Pradesh,158723,944.6,22703737.92,14285.07,0.586666667
Coconut ,Andhra Pradesh,106616,944.6,15250352.64,9595.44,9132.568235
Coriander,Andhra Pradesh,33439,944.6,4783114.56,3009.51,0.585625
Cotton(lint),Andhra Pradesh,1398900,944.6,200098656,125901,2.456363636
Dry chillies,Andhra Pradesh,160013,944.6,22888259.52,14401.17,3.326818182
Dry chillies,Andhra Pradesh,43347,944.6,6200354.88,3901.23,3.225
Ginger,Andhra Pradesh,2194,944.6,313829.76,197.46,4.525555556
Gram,Andhra Pradesh,606426,944.6,86743175.04,54578.34,1.627619048
Groundnut,Andhra Pradesh,1499640,944.6,214508505.6,134967.6,1.040909091
Groundnut,Andhra Pradesh,266714,944.6,38150770.56,24004.26,2.036818182
Horse-gram,Andhra Pradesh,4963,944.6,709907.52,446.67,0.489
Horse-gram,Andhra Pradesh,34347,944.6,4912994.88,3091.23,0.448095238
Jowar,Andhra Pradesh,118094,944.6,16892165.76,10628.46,1.798421053
Jowar,Andhra Pradesh,160490,944.6,22956489.6,14444.1,2.484444444
Linseed,Andhra Pradesh,927,944.6,132598.08,83.43,0.384
Maize,Andhra Pradesh,497803,944.6,71205741.12,44802.27,3.601818182
Maize,Andhra Pradesh,354157,944.6,50658617.28,31874.13,6.952727273
Mesta,Andhra Pradesh,37163,944.6,5315795.52,3344.67,7.881666667
Moong(Green Gram),Andhra Pradesh,206857,944.6,29588825.28,18617.13,0.436818182
Moong(Green Gram),Andhra Pradesh,112694,944.6,16119749.76,10142.46,0.582631579
Niger seed,Andhra Pradesh,12494,944.6,1787141.76,1124.46,0.4625
Onion,Andhra Pradesh,26723,944.6,3822457.92,2405.07,15.30888889
Onion,Andhra Pradesh,13737,944.6,1964940.48,1236.33,18.40631579
Other  Rabi pulses,Andhra Pradesh,2415,944.6,345441.6,217.35,1.066666667
Other Kharif pulses,Andhra Pradesh,2634,944.6,376767.36,237.06,0.5
Potato,Andhra Pradesh,5227,944.6,747670.08,470.43,9.332
Ragi,Andhra Pradesh,44783,944.6,6405760.32,4030.47,1.146153846
Ragi,Andhra Pradesh,5238,944.6,749243.52,471.42,1.703636364
Rapeseed &Mustard,Andhra Pradesh,5885,944.6,841790.4,529.65,0.646
Rice,Andhra Pradesh,2803076,944.6,400951991,252276.84,2.913636364
Rice,Andhra Pradesh,1584140,944.6,226595385.6,142572.6,3.236818182
Safflower,Andhra Pradesh,12780,944.6,1828051.2,1150.2,0.5
Sesamum,Andhra Pradesh,46041,944.6,6585704.64,4143.69,0.2495
Sesamum,Andhra Pradesh,34296,944.6,4905699.84,3086.64,0.252105263
Small millets,Andhra Pradesh,30291,944.6,4332824.64,2726.19,0.65
Small millets,Andhra Pradesh,232,944.6,33185.28,20.88,0.763333333
Soyabean,Andhra Pradesh,142128,944.6,20329989.12,12791.52,1.362727273
Sugarcane,Andhra Pradesh,196126,944.6,28053863.04,17651.34,81.6452381
Sunflower,Andhra Pradesh,418539,944.6,59867818.56,37668.51,1.032727273
Sweet potato,Andhra Pradesh,903,944.6,129165.12,81.27,8.952142857
Tapioca,Andhra Pradesh,16765,944.6,2398065.6,1508.85,9.871428571
Tobacco,Andhra Pradesh,232741,944.6,33291272.64,20946.69,4.74097561
Urad,Andhra Pradesh,69015,944.6,9871905.6,6211.35,0.460526316
Urad,Andhra Pradesh,269360,944.6,38529254.4,24242.4,0.62
Wheat,Andhra Pradesh,13687,944.6,1957788.48,1231.83,1.026666667
Arecanut,Assam,66072,2109.9,9450938.88,5946.48,0.989259259
Arhar/Tur,Assam,5368,2109.9,767838.72,483.12,0.706296296
Banana,Assam,45580,2109.9,6519763.2,4102.2,13.89074074
Black pepper,Assam,3393,2109.9,485334.72,305.37,1.680384615
Castor seed,Assam,1225,2109.9,175224,110.25,0.433333333
Coconut ,Assam,19135,2109.9,2737070.4,1722.15,7716.895185
Cotton(lint),Assam,1340,2109.9,191673.6,120.6,0.5688
Dry chillies,Assam,17010,2109.9,2433110.4,1530.9,0.62962963
Ginger,Assam,15210,2109.9,2175638.4,1368.9,6.942592593
Gram,Assam,1719,2109.9,245885.76,154.71,0.509259259
Jute,Assam,60111,2109.9,8598277.44,5409.99,10.38925926
Linseed,Assam,7384,2109.9,1056207.36,664.56,0.47125
Maize,Assam,17382,2109.9,2486321.28,1564.38,0.595555556
Masoor,Assam,21726,2109.9,3107687.04,1955.34,0.5236
Mesta,Assam,5285,2109.9,755966.4,475.65,4.663913043
Moong(Green Gram),Assam,5634,2109.9,805887.36,507.06,0.43962963
Niger seed,Assam,7493,2109.9,1071798.72,674.37,0.509565217
Onion,Assam,6963,2109.9,995987.52,626.67,2.381481481
Peas & beans (Pulses),Assam,20943,2109.9,2995686.72,1884.87,0.632222222
Potato,Assam,78317,2109.9,11202463.68,7048.53,6.5
Rapeseed &Mustard,Assam,226385,2109.9,32382110.4,20374.65,0.521111111
Rice,Assam,350649,2109.9,50156832.96,31558.41,1.117777778
Rice,Assam,360266,2109.9,51532448.64,32423.94,1.951153846
Rice,Assam,1773211,2109.9,253640101.4,159588.99,1.607407407
Sesamum,Assam,12197,2109.9,1744658.88,1097.73,0.499259259
Small millets,Assam,5440,2109.9,778137.6,489.6,0.494230769
Sugarcane,Assam,28649,2109.9,4097952.96,2578.41,37.27
Sweet potato,Assam,6338,2109.9,906587.52,570.42,3.421481481
Tapioca,Assam,3045,2109.9,435556.8,274.05,4.509615385
Tobacco,Assam,493,2109.9,70518.72,44.37,0.649166667
Turmeric,Assam,14459,2109.9,2068215.36,1301.31,0.792962963
Urad,Assam,39723,2109.9,5681977.92,3575.07,0.600740741
Wheat,Assam,50053,2109.9,7159581.12,4504.77,1.045769231
Arecanut,Karnataka,184515,1164.1,26393025.6,16606.35,6.214285714
Arhar/Tur,Karnataka,596622,1164.1,85340810.88,53695.98,0.546153846
Bajra,Karnataka,264170,1164.1,37786876.8,23775.3,0.633333333
Bajra,Karnataka,354,1164.1,50636.16,31.86,0.94
Bajra,Karnataka,1084,1164.1,155055.36,97.56,0.955
Banana,Karnataka,61001,1164.1,8725583.04,5490.09,20.47448276
Black pepper,Karnataka,17451,1164.1,2496191.04,1570.59,4.133571429
Cardamom,Karnataka,19838,1164.1,2837627.52,1785.42,0.067777778
Cashewnut,Karnataka,62303,1164.1,8911821.12,5607.27,0.605
Castor seed,Karnataka,19635,1164.1,2808590.4,1767.15,0.96826087
Coconut ,Karnataka,418581,1164.1,59873826.24,37672.29,6801.366552
Coriander,Karnataka,7415,1164.1,1060641.6,667.35,0.549545455
Cotton(lint),Karnataka,409024,1164.1,58506792.96,36812.16,1.9425
Dry chillies,Karnataka,109185,1164.1,15617822.4,9826.65,1.025714286
Dry chillies,Karnataka,5903,1164.1,844365.12,531.27,1.681111111
Dry chillies,Karnataka,7225,1164.1,1033464,650.25,3.233076923
Garlic,Karnataka,5625,1164.1,804600,506.25,2.644285714
Ginger,Karnataka,25475,1164.1,3643944,2292.75,31.86789474
Gram,Karnataka,726189,1164.1,103874074.6,65357.01,0.527391304
Groundnut,Karnataka,694390,1164.1,99325545.6,62495.1,0.56962963
Groundnut,Karnataka,155886,1164.1,22297933.44,14029.74,0.898928571
Horse-gram,Karnataka,94450,1164.1,13510128,8500.5,0.4976
Horse-gram,Karnataka,122164,1164.1,17474338.56,10994.76,0.416428571
Jowar,Karnataka,242445,1164.1,34679332.8,21820.05,1.2655
Jowar,Karnataka,1134555,1164.1,162286747.2,102109.95,0.9535
Jowar,Karnataka,4882,1164.1,698321.28,439.38,2.2125
Linseed,Karnataka,13549,1164.1,1938048.96,1219.41,0.4
Maize,Karnataka,932901,1164.1,133442159,83961.09,2.895555556
Maize,Karnataka,107533,1164.1,15381520.32,9677.97,2.845
Maize,Karnataka,27868,1164.1,3986238.72,2508.12,3.073928571
Mesta,Karnataka,1146,1164.1,163923.84,103.14,1.636
Moong(Green Gram),Karnataka,266386,1164.1,38103853.44,23974.74,0.141304348
Moong(Green Gram),Karnataka,8293,1164.1,1186230.72,746.37,0.267857143
Niger seed,Karnataka,25337,1164.1,3624204.48,2280.33,0.3416
Onion,Karnataka,117822,1164.1,16853258.88,10603.98,5.7176
Onion,Karnataka,13415,1164.1,1918881.6,1207.35,6.771363636
Onion,Karnataka,3775,1164.1,539976,339.75,5.57952381
Other  Rabi pulses,Karnataka,30396,1164.1,4347843.84,2735.64,0.290714286
Other Kharif pulses,Karnataka,132310,1164.1,18925622.4,11907.9,0.77
Potato,Karnataka,67728,1164.1,9687813.12,6095.52,2.449411765
Potato,Karnataka,6060,1164.1,866822.4,545.4,15.515
Potato,Karnataka,1907,1164.1,272777.28,171.63,15.96333333
Ragi,Karnataka,797944,1164.1,114137909.8,71814.96,1.284285714
Ragi,Karnataka,34210,1164.1,4893398.4,3078.9,1.6925
Ragi,Karnataka,8970,1164.1,1283068.8,807.3,1.926
Rapeseed &Mustard,Karnataka,4573,1164.1,654121.92,411.57,0.3875
Rice,Karnataka,1129883,1164.1,161618464.3,101689.47,2.513448276
Rice,Karnataka,40982,1164.1,5862065.28,3688.38,2.514166667
Rice,Karnataka,343122,1164.1,49080170.88,30880.98,2.786923077
Safflower,Karnataka,73376,1164.1,10495703.04,6603.84,0.772857143
Sannhamp,Karnataka,266,1164.1,38048.64,23.94,0.243333333
Sesamum,Karnataka,56234,1164.1,8043711.36,5061.06,0.50962963
Soyabean,Karnataka,134183,1164.1,19193536.32,12076.47,0.746363636
Sugarcane,Karnataka,281100,1164.1,40208544,25299,85.54
Sunflower,Karnataka,441753,1164.1,63188349.12,39757.77,0.4992
Sunflower,Karnataka,517061,1164.1,73960405.44,46535.49,0.567727273
Sunflower,Karnataka,42201,1164.1,6036431.04,3798.09,0.857619048
Sweet potato,Karnataka,2592,1164.1,370759.68,233.28,10.14066667
Tapioca,Karnataka,872,1164.1,124730.88,78.48,9.78875
Tobacco,Karnataka,108139,1164.1,15468202.56,9732.51,0.584375
Turmeric,Karnataka,14159,1164.1,2025303.36,1274.31,4.191052632
Urad,Karnataka,101121,1164.1,14464347.84,9100.89,0.274782609
Urad,Karnataka,10540,1164.1,1507641.6,948.6,0.43
Wheat,Karnataka,268600,1164.1,38420544,24174,1.012857143
Arecanut,Kerala,97492,2524.8,13945255.68,8774.28,1.047142857
Banana,Kerala,54739,2524.8,7829866.56,4926.51,7.93
Black pepper,Kerala,153711,2524.8,21986821.44,13833.99,0.182857143
Cardamom,Kerala,41588,2524.8,5948747.52,3742.92,0.061111111
Cashewnut,Kerala,53007,2524.8,7582121.28,4770.63,0.518571429
Coconut ,Kerala,787769,2524.8,112682477.8,70899.21,6765.202857
Cotton(lint),Kerala,1152,2524.8,164782.08,103.68,1.3
Garlic,Kerala,320,2524.8,45772.8,28.8,17
Ginger,Kerala,7421,2524.8,1061499.84,667.89,3.17
Groundnut,Kerala,1733,2524.8,247888.32,155.97,0.74
Jowar,Kerala,2306,2524.8,329850.24,207.54,0.6525
Other Cereals,Kerala,371,2524.8,53067.84,33.39,0.91
Ragi,Kerala,608,2524.8,86968.32,54.72,0.856
Rice,Kerala,79381,2524.8,11354658.24,7144.29,2.295384615
Rice,Kerala,49762,2524.8,7117956.48,4478.58,2.446428571
Rice,Kerala,105122,2524.8,15036650.88,9460.98,2.260714286
Sesamum,Kerala,576,2524.8,82391.04,51.84,0.465714286
Sugarcane,Kerala,3392,2524.8,485191.68,305.28,73.525
Sweet potato,Kerala,386,2524.8,55213.44,34.74,11.5
Tapioca,Kerala,87241,2524.8,12478952.64,7851.69,31.64142857
Tobacco,Kerala,39,2524.8,5578.56,3.51,1.62
Turmeric,Kerala,2782,2524.8,397937.28,250.38,2.169285714
Arecanut,Meghalaya,12632,3114.3,1806881.28,1136.88,1.244285714
Arhar/Tur,Meghalaya,794,3114.3,113573.76,71.46,0.796666667
Banana,Meghalaya,6522,3114.3,932906.88,586.98,10.37428571
Black pepper,Meghalaya,884,3114.3,126447.36,79.56,0.514285714
Castor seed,Meghalaya,29,3114.3,4148.16,2.61,0.686666667
Cotton(lint),Meghalaya,7106,3114.3,1016442.24,639.54,0.823333333
Dry chillies,Meghalaya,1875,3114.3,268200,168.75,0.97
Ginger,Meghalaya,9283,3114.3,1327840.32,835.47,6.414285714
Gram,Meghalaya,530,3114.3,75811.2,47.7,0.616666667
Jute,Meghalaya,3951,3114.3,565151.04,355.59,6.31
Linseed,Meghalaya,90,3114.3,12873.6,8.1,0.48
Maize,Meghalaya,17117,3114.3,2448415.68,1540.53,1.545714286
Mesta,Meghalaya,4176,3114.3,597335.04,375.84,4.563333333
Other  Rabi pulses,Meghalaya,2215,3114.3,316833.6,199.35,1.028571429
Potato,Meghalaya,17690,3114.3,2530377.6,1592.1,7.417142857
Rapeseed &Mustard,Meghalaya,7197,3114.3,1029458.88,647.73,0.651428571
Rice,Meghalaya,32570,3114.3,4658812.8,2931.3,1.53
Rice,Meghalaya,12752,3114.3,1824046.08,1147.68,2.154285714
Rice,Meghalaya,62723,3114.3,8971897.92,5645.07,1.802857143
Sesamum,Meghalaya,1623,3114.3,232153.92,146.07,0.658333333
Small millets,Meghalaya,2442,3114.3,349303.68,219.78,1.011428571
Soyabean,Meghalaya,1055,3114.3,150907.2,94.95,1.061428571
Sugarcane,Meghalaya,92,3114.3,13159.68,8.28,2.316
Sweet potato,Meghalaya,4895,3114.3,700180.8,440.55,3.648571429
Tapioca,Meghalaya,4187,3114.3,598908.48,376.83,6.267142857
Tobacco,Meghalaya,664,3114.3,94978.56,59.76,0.7275
Turmeric,Meghalaya,1959,3114.3,280215.36,176.31,4.862857143
Wheat,Meghalaya,416,3114.3,59504.64,37.44,1.245
Arecanut,Tamil Nadu,5612,1201.9,802740.48,505.08,1.708333333
Arhar/Tur,Tamil Nadu,27483,1201.9,3931168.32,2473.47,0.606923077
Bajra,Tamil Nadu,56672,1201.9,8106362.88,5100.48,2.5968
Banana,Tamil Nadu,115804,1201.9,16564604.16,10422.36,44.54483871
Black pepper,Tamil Nadu,3122,1201.9,446570.88,280.98,0.155
Cardamom,Tamil Nadu,4051,1201.9,579455.04,364.59,0.094
Cashewnut,Tamil Nadu,99168,1201.9,14184990.72,8925.12,338.5489655
Castor seed,Tamil Nadu,5523,1201.9,790009.92,497.07,0.322222222
Coconut ,Tamil Nadu,389429,1201.9,55703924.16,35048.61,13834.07258
Coriander,Tamil Nadu,14139,1201.9,2022442.56,1272.51,0.357826087
Cotton(lint),Tamil Nadu,114516,1201.9,16380368.64,10306.44,1.797586207
Dry chillies,Tamil Nadu,65412,1201.9,9356532.48,5887.08,0.651290323
Garlic,Tamil Nadu,351,1201.9,50207.04,31.59,5.76
Ginger,Tamil Nadu,817,1201.9,116863.68,73.53,20
Gram,Tamil Nadu,6852,1201.9,980110.08,616.68,0.534761905
Groundnut,Tamil Nadu,489844,1201.9,70067285.76,44085.96,2.373666667
Horse-gram,Tamil Nadu,44749,1201.9,6400896.96,4027.41,0.459230769
Jowar,Tamil Nadu,258876,1201.9,37029623.04,23298.84,1.152142857
Maize,Tamil Nadu,286639,1201.9,41000842.56,25797.51,5.226296296
Moong(Green Gram),Tamil Nadu,138598,1201.9,19825057.92,12473.82,0.336333333
Onion,Tamil Nadu,30255,1201.9,4327675.2,2722.95,10.1544
Potato,Tamil Nadu,4367,1201.9,624655.68,393.03,19.39
Ragi,Tamil Nadu,90079,1201.9,12884900.16,8107.11,2.228928571
Rapeseed &Mustard,Tamil Nadu,257,1201.9,36761.28,23.13,0.282222222
Rice,Tamil Nadu,1931603,1201.9,276296493.1,173844.27,3.562580645
Sesamum,Tamil Nadu,63693,1201.9,9110646.72,5732.37,0.467777778
Small millets,Tamil Nadu,33512,1201.9,4793556.48,3016.08,1.742
Sugarcane,Tamil Nadu,308800,1201.9,44170752,27792,111.4553333
Sunflower,Tamil Nadu,25755,1201.9,3683995.2,2317.95,1.768571429
Sweet potato,Tamil Nadu,658,1201.9,94120.32,59.22,13.52565217
Tapioca,Tamil Nadu,124301,1201.9,17780015.04,11187.09,35.91833333
Tobacco,Tamil Nadu,5379,1201.9,769412.16,484.11,1.593333333
Turmeric,Tamil Nadu,29875,1201.9,4273320,2688.75,5.326296296
Urad,Tamil Nadu,263671,1201.9,37715499.84,23730.39,0.666666667
Arecanut,West Bengal,11394,1560.1,1629797.76,1025.46,1.623888889
Arhar/Tur,West Bengal,629,1560.1,89972.16,56.61,0.813333333
Bajra,West Bengal,75,1560.1,10728,6.75,0.35
Barley,West Bengal,2768,1560.1,395934.72,249.12,1.641666667
Cardamom,West Bengal,245,1560.1,35044.8,22.05,2.87
Castor seed,West Bengal,60,1560.1,8582.4,5.4,0.62
Coconut ,West Bengal,28757,1560.1,4113401.28,2588.13,12255.46667
Cotton(lint),West Bengal,2780,1560.1,397651.2,250.2,2.32875
Dry chillies,West Bengal,63249,1560.1,9047136.96,5692.41,1.427777778
Ginger,West Bengal,11131,1560.1,1592178.24,1001.79,1.812222222
Gram,West Bengal,21692,1560.1,3102823.68,1952.28,1.025833333
Groundnut,West Bengal,2413,1560.1,345155.52,217.17,1.042
Groundnut,West Bengal,13860,1560.1,1982534.4,1247.4,1.424166667
Groundnut,West Bengal,51924,1560.1,7427208.96,4673.16,1.550555556
Horse-gram,West Bengal,1897,1560.1,271346.88,170.73,0.489
Jowar,West Bengal,1126,1560.1,161063.04,101.34,0.4
Jute,West Bengal,584238,1560.1,83569403.52,52581.42,14.03470588
Khesari,West Bengal,27743,1560.1,3968358.72,2496.87,0.619375
Linseed,West Bengal,4565,1560.1,652977.6,410.85,0.218
Maize,West Bengal,36843,1560.1,5270022.72,3315.87,2.369090909
Maize,West Bengal,17955,1560.1,2568283.2,1615.95,3.217272727
Maize,West Bengal,35976,1560.1,5146007.04,3237.84,2.743529412
Masoor,West Bengal,49712,1560.1,7110804.48,4474.08,0.617058824
Mesta,West Bengal,7908,1560.1,1131160.32,711.72,8.777
Moong(Green Gram),West Bengal,1079,1560.1,154340.16,97.11,0.681428571
Moong(Green Gram),West Bengal,1570,1560.1,224572.8,141.3,0.628181818
Moong(Green Gram),West Bengal,12168,1560.1,1740510.72,1095.12,0.75
Niger seed,West Bengal,5000,1560.1,715200,450,0.548571429
Other  Rabi pulses,West Bengal,185,1560.1,26462.4,16.65,0.355
Other Kharif pulses,West Bengal,976,1560.1,139607.04,87.84,0.675
Peas & beans (Pulses),West Bengal,8815,1560.1,1260897.6,793.35,0.695333333
Potato,West Bengal,385981,1560.1,55210722.24,34738.29,13.99944444
Ragi,West Bengal,11732,1560.1,1678145.28,1055.88,0.8275
Ragi,West Bengal,972,1560.1,139034.88,87.48,0.83
Rapeseed &Mustard,West Bengal,412488,1560.1,59002283.52,37123.92,0.677777778
Rice,West Bengal,292444,1560.1,41831189.76,26319.96,2.04
Rice,West Bengal,1556662,1560.1,222664932.5,140099.58,2.646666667
Rice,West Bengal,4086590,1560.1,584545833.6,367793.1,2.393888889
Safflower,West Bengal,350,1560.1,50064,31.5,0.83
Sannhamp,West Bengal,968,1560.1,138462.72,87.12,5.3875
Sesamum,West Bengal,1143,1560.1,163494.72,102.87,0.658333333
Sesamum,West Bengal,200506,1560.1,28680378.24,18045.54,0.773529412
Sesamum,West Bengal,1245,1560.1,178084.8,112.05,0.541
Small millets,West Bengal,1068,1560.1,152766.72,96.12,0.755
Small millets,West Bengal,1500,1560.1,214560,135,1.27
Soyabean,West Bengal,537,1560.1,76812.48,48.33,0.5775
Sugarcane,West Bengal,17557,1560.1,2511353.28,1580.13,98.52
Sunflower,West Bengal,10127,1560.1,1448566.08,911.43,1.159375
Tobacco,West Bengal,12707,1560.1,1817609.28,1143.63,0.676666667
Turmeric,West Bengal,15216,1560.1,2176496.64,1369.44,2.138888889
Urad,West Bengal,50246,1560.1,7187187.84,4522.14,0.629444444
Urad,West Bengal,6765,1560.1,967665.6,608.85,0.7125
Wheat,West Bengal,306985,1560.1,43911134.4,27628.65,2.172777778
Arecanut,Puducherry,61,1434.5875,9505.02,10.37,1.26
Bajra,Puducherry,29,1434.5875,4518.78,4.93,1.69
Bajra,Puducherry,31,1434.5875,4830.42,5.27,2
Banana,Puducherry,285,1434.5875,44408.7,48.45,26.09666667
Black pepper,Puducherry,12,1434.5875,1869.84,2.04,0.67
Cashewnut,Puducherry,171,1434.5875,26645.22,29.07,0.903333333
Coconut ,Puducherry,2138,1434.5875,333143.16,363.46,11782.4725
Coriander,Puducherry,6,1434.5875,934.92,1.02,0.5
Cotton(lint),Puducherry,10,1434.5875,1558.2,1.7,0.89
Dry chillies,Puducherry,1,1434.5875,155.82,0.17,1
Dry chillies,Puducherry,1,1434.5875,155.82,0.17,1
Dry chillies,Puducherry,4,1434.5875,623.28,0.68,1
Groundnut,Puducherry,25,1434.5875,3895.5,4.25,1.88
Groundnut,Puducherry,374,1434.5875,58276.68,63.58,1.575
Groundnut,Puducherry,39,1434.5875,6076.98,6.63,1.525
Jowar,Puducherry,6,1434.5875,934.92,1.02,1.5
Moong(Green Gram),Puducherry,4,1434.5875,623.28,0.68,0.5
Moong(Green Gram),Puducherry,1060,1434.5875,165169.2,180.2,0.346666667
Other  Rabi pulses,Puducherry,2,1434.5875,311.64,0.34,1
Other  Rabi pulses,Puducherry,1,1434.5875,155.82,0.17,1
Other Kharif pulses,Puducherry,3,1434.5875,467.46,0.51,0.67
Ragi,Puducherry,12,1434.5875,1869.84,2.04,1.775
Ragi,Puducherry,5,1434.5875,779.1,0.85,2.2
Ragi,Puducherry,17,1434.5875,2648.94,2.89,3
Rice,Puducherry,4650,1434.5875,724563,790.5,2.893333333
Rice,Puducherry,11178,1434.5875,1741755.96,1900.26,2.903333333
Rice,Puducherry,5098,1434.5875,794370.36,866.66,1.965
Sesamum,Puducherry,5,1434.5875,779.1,0.85,0.6
Sesamum,Puducherry,18,1434.5875,2804.76,3.06,0.72
Sesamum,Puducherry,224,1434.5875,34903.68,38.08,0.62
Small millets,Puducherry,1,1434.5875,155.82,0.17,1
Sugarcane,Puducherry,1785,1434.5875,278138.7,303.45,97.28
Sunflower,Puducherry,1,1434.5875,155.82,0.17,1
Sweet potato,Puducherry,1,1434.5875,155.82,0.17,0
Tapioca,Puducherry,242,1434.5875,37708.44,41.14,18.97
Tapioca,Puducherry,3,1434.5875,467.46,0.51,17.5
Turmeric,Puducherry,3,1434.5875,467.46,0.51,0
Turmeric,Puducherry,3,1434.5875,467.46,0.51,1.67
Urad,Puducherry,31,1434.5875,4830.42,5.27,0.32
Urad,Puducherry,93,1434.5875,14491.26,15.81,0.52
Urad,Puducherry,874,1434.5875,136186.68,148.58,0.626666667
Arecanut,Andhra Pradesh,386,711,60146.52,65.62,0.855
Arhar/Tur,Andhra Pradesh,438392,711,68310241.44,74526.64,0.525909091
Arhar/Tur,Andhra Pradesh,24895,711,3879138.9,4232.15,0.52
Bajra,Andhra Pradesh,33411,711,5206102.02,5679.87,1.3
Bajra,Andhra Pradesh,11938,711,1860179.16,2029.46,1.296363636
Banana,Andhra Pradesh,58229,711,9073242.78,9898.93,30.9435
Cashewnut,Andhra Pradesh,139274,711,21701674.68,23676.58,0.315
Castor seed,Andhra Pradesh,147582,711,22996227.24,25088.94,0.532352941
Coconut ,Andhra Pradesh,104541,711,16289578.62,17771.97,10004.87412
Coriander,Andhra Pradesh,37468,711,5838263.76,6369.56,0.695625
Cotton(lint),Andhra Pradesh,1467025,711,228591835.5,249394.25,2.209090909
Dry chillies,Andhra Pradesh,156475,711,24381934.5,26600.75,3.287142857
Dry chillies,Andhra Pradesh,50066,711,7801284.12,8511.22,3.595
Garlic,Andhra Pradesh,530,711,82584.6,90.1,2.556666667
Ginger,Andhra Pradesh,2317,711,361034.94,393.89,5.49625
Gram,Andhra Pradesh,646894,711,100799023.1,109971.98,1.386818182
Groundnut,Andhra Pradesh,1010974,711,157529968.7,171865.58,0.965454545
Groundnut,Andhra Pradesh,290208,711,45220210.56,49335.36,2.155
Horse-gram,Andhra Pradesh,20162,711,3141642.84,3427.54,0.6
Horse-gram,Andhra Pradesh,39303,711,6124193.46,6681.51,0.508571429
Jowar,Andhra Pradesh,184976,711,28822960.32,31445.92,1.144
Jowar,Andhra Pradesh,199858,711,31141873.56,33975.86,2.016
Linseed,Andhra Pradesh,673,711,104866.86,114.41,0.155
Maize,Andhra Pradesh,501624,711,78163051.68,85276.08,3.095
Maize,Andhra Pradesh,281008,711,43786666.56,47771.36,6.097272727
Mesta,Andhra Pradesh,23045,711,3590871.9,3917.65,8.421666667
Moong(Green Gram),Andhra Pradesh,205281,711,31986885.42,34897.77,0.167727273
Moong(Green Gram),Andhra Pradesh,101342,711,15791110.44,17228.14,0.475
Niger seed,Andhra Pradesh,7663,711,1194048.66,1302.71,0.376666667
Onion,Andhra Pradesh,22954,711,3576692.28,3902.18,15.85611111
Onion,Andhra Pradesh,13608,711,2120398.56,2313.36,25.09052632
Other  Rabi pulses,Andhra Pradesh,2666,711,415416.12,453.22,0.59
Other Kharif pulses,Andhra Pradesh,2814,711,438477.48,478.38,0.438
Potato,Andhra Pradesh,5040,711,785332.8,856.8,10.294
Ragi,Andhra Pradesh,38906,711,6062332.92,6614.02,1.08
Ragi,Andhra Pradesh,6322,711,985094.04,1074.74,1.824545455
Rapeseed &Mustard,Andhra Pradesh,4309,711,671428.38,732.53,0.3125
Rice,Andhra Pradesh,2062870,711,321436403.4,350687.9,2.790909091
Rice,Andhra Pradesh,1377866,711,214699080.1,234237.22,3.098636364
Safflower,Andhra Pradesh,14273,711,2224018.86,2426.41,0.4325
Sesamum,Andhra Pradesh,47184,711,7352210.88,8021.28,0.200952381
Sesamum,Andhra Pradesh,43286,711,6744824.52,7358.62,0.2655
Small millets,Andhra Pradesh,24322,711,3789854.04,4134.74,0.461818182
Small millets,Andhra Pradesh,1114,711,173583.48,189.38,0.745
Soyabean,Andhra Pradesh,156296,711,24354042.72,26570.32,0.703636364
Sugarcane,Andhra Pradesh,157834,711,24593693.88,26831.78,83.372
Sunflower,Andhra Pradesh,350523,711,54618493.86,59588.91,0.929090909
Sweet potato,Andhra Pradesh,886,711,138056.52,150.62,7.28625
Tapioca,Andhra Pradesh,11234,711,1750481.88,1909.78,9.916666667
Tobacco,Andhra Pradesh,258386,711,40261706.52,43925.62,4.295121951
Urad,Andhra Pradesh,82940,711,12923710.8,14099.8,0.2605
Urad,Andhra Pradesh,346178,711,53941455.96,58850.26,0.640952381
Wheat,Andhra Pradesh,9872,711,1538255.04,1678.24,0.95
Arecanut,Assam,68947,1727.1,10743321.54,11720.99,0.981851852
Arhar/Tur,Assam,6191,1727.1,964681.62,1052.47,0.707037037
Banana,Assam,44980,1727.1,7008783.6,7646.6,13.76888889
Black pepper,Assam,2967,1727.1,462317.94,504.39,1.577777778
Castor seed,Assam,1157,1727.1,180283.74,196.69,0.427916667
Coconut ,Assam,20368,1727.1,3173741.76,3462.56,8446.091481
Cotton(lint),Assam,1646,1727.1,256479.72,279.82,0.51625
Dry chillies,Assam,17111,1727.1,2666236.02,2908.87,0.65962963
Ginger,Assam,15690,1727.1,2444815.8,2667.3,6.941481481
Gram,Assam,1725,1727.1,268789.5,293.25,0.505925926
Jute,Assam,65270,1727.1,10170371.4,11095.9,10.61148148
